Object_Number, X1, Y1, X2, Y2, Face_Area, Eye_Area_Ratio
267, 435, 161, 601, 327, 27225.00, 0.11
268, 437, 165, 598, 326, 25600.00, 0.14
269, 435, 164, 599, 328, 26569.00, 0.11
270, 435, 164, 597, 326, 25921.00, 0.17
271, 435, 164, 598, 327, 26244.00, 0.15
272, 435, 164, 599, 328, 26569.00, 0.12
273, 436, 164, 600, 328, 26569.00, 0.11
274, 435, 164, 597, 326, 25921.00, 0.11
275, 435, 164, 598, 327, 26244.00, 0.12
276, 435, 164, 598, 327, 26244.00, 0.12
277, 436, 164, 601, 329, 26896.00, 0.22
278, 435, 164, 602, 331, 27556.00, 0.13
279, 435, 164, 601, 330, 27225.00, 0.13
280, 435, 165, 601, 331, 27225.00, 0.12
281, 434, 164, 601, 331, 27556.00, 0.15
282, 435, 164, 601, 330, 27225.00, 0.14
283, 436, 165, 602, 331, 27225.00, 0.16
284, 435, 166, 601, 332, 27225.00, 0.11
285, 436, 166, 601, 331, 26896.00, 0.13
286, 436, 166, 599, 329, 26244.00, 0.11
287, 436, 166, 601, 331, 26896.00, 0.10
288, 437, 166, 601, 330, 26569.00, 0.11
289, 439, 167, 601, 329, 25921.00, 0.14
290, 441, 169, 602, 330, 25600.00, 0.14
291, 439, 168, 601, 330, 25921.00, 0.13
292, 442, 170, 601, 329, 24964.00, 0.06
293, 440, 169, 602, 331, 25921.00, 0.06
294, 441, 170, 601, 330, 25281.00, 0.13
295, 441, 170, 601, 330, 25281.00, 0.13
296, 439, 169, 603, 333, 26569.00, 0.14
297, 440, 168, 606, 334, 27225.00, 0.11
298, 440, 169, 604, 333, 26569.00, 0.15
299, 442, 169, 605, 332, 26244.00, 0.14
300, 441, 169, 605, 333, 26569.00, 0.24
301, 441, 169, 604, 332, 26244.00, 0.05
302, 441, 168, 606, 333, 26896.00, 0.00
303, 442, 169, 605, 332, 26244.00, 0.11
304, 440, 169, 604, 333, 26569.00, 0.00
305, 440, 169, 605, 334, 26896.00, 0.06
306, 441, 169, 603, 331, 25921.00, 0.07
307, 441, 169, 605, 333, 26569.00, 0.00
308, 441, 169, 605, 333, 26569.00, 0.00
309, 442, 170, 605, 333, 26244.00, 0.05
310, 443, 170, 605, 332, 25921.00, 0.10
311, 442, 169, 604, 331, 25921.00, 0.00
312, 443, 170, 605, 332, 25921.00, 0.04
313, 444, 171, 604, 331, 25281.00, 0.07
314, 443, 171, 604, 332, 25600.00, 0.12
315, 443, 170, 605, 332, 25921.00, 0.06
316, 444, 171, 604, 331, 25281.00, 0.00
317, 444, 171, 604, 331, 25281.00, 0.05
318, 444, 171, 604, 331, 25281.00, 0.20
319, 443, 170, 604, 331, 25600.00, 0.05
320, 445, 172, 604, 331, 24964.00, 0.12
321, 445, 172, 604, 331, 24964.00, 0.12
322, 443, 170, 605, 332, 25921.00, 0.12
323, 443, 171, 603, 331, 25281.00, 0.11
324, 445, 172, 603, 330, 24649.00, 0.11
325, 443, 171, 603, 331, 25281.00, 0.07
326, 445, 172, 602, 329, 24336.00, 0.12
327, 445, 172, 603, 330, 24649.00, 0.17
328, 445, 172, 602, 329, 24336.00, 0.05
329, 443, 172, 602, 331, 24964.00, 0.05
330, 443, 172, 603, 332, 25281.00, 0.13
331, 443, 171, 604, 332, 25600.00, 0.05
332, 442, 171, 603, 332, 25600.00, 0.05
333, 442, 171, 603, 332, 25600.00, 0.05
334, 442, 171, 604, 333, 25921.00, 0.04
335, 442, 170, 605, 333, 26244.00, 0.14
336, 443, 172, 603, 332, 25281.00, 0.06
337, 444, 172, 603, 331, 24964.00, 0.04
338, 444, 171, 606, 333, 25921.00, 0.05
339, 444, 170, 607, 333, 26244.00, 0.00
340, 444, 170, 607, 333, 26244.00, 0.03
341, 445, 172, 607, 334, 25921.00, 0.03
342, 446, 173, 607, 334, 25600.00, 0.05
